EmployeeID,Name,Age,Department,Gender,JoiningDate,City,Salary,YearsExperience,PerformanceScore,Attrition
1,Employee_280,23.0,IT,M,19-07-2019,seattle ,64977.66,5.1,3.0,No
2,Employee_103,31.0,HR,M,16-08-2023,Seattle,60424.78,7.0,3.0,Yes
3,Employee_172,41.0,Marketing,female,19-04-2020,,50581.07,5.9,2.0,No
4,Employee_171,31.0,IT,female,24-06-2019,Seattle,69688.77,0.6,3.0,No
5,Employee_74,43.0,Finance,Male,16-04-2018,Boston,40633.13,7.0,5.0,No
6,Employee_265,32.0,Marketing,Male,13-09-2021,Seattle,50735.22,5.6,4.0,Yes
7,Employee_133,,Sales,Female,26-08-2020,Seattle,73106.75,8.1,3.0,No
8,Employee_160,27.0,HR,F,28-01-2022,Austin,72360.22,1.0,3.0,No
9,Employee_38,23.0,HR,female,17-03-2022,seattle ,47630.23,1.3,3.0,No
10,Employee_82,28.0,IT,Male,21-06-2018,Seattle,51257.99,8.2,1.0,No
11,Employee_275,32.0,HR,MALE,19-06-2016,NEW YORK,41097.53,5.7,2.0,No
12,Employee_61,22.0,IT,female,01-05-2015,,52451.44,6.5,3.0,No
13,Employee_228,50.0,Sales,Female,14-01-2022,boston,55927.13,9.3,4.0,Yes
14,Employee_276,27.0,HR,M,14-09-2016,Boston,65665.91,5.1,5.0,No
15,Employee_67,25.0,HR,male,06-04-2025,New york ,73892.66,0.9,3.0,No
16,Employee_130,45.0,Sales,F,27-12-2019,austin,83510.3,7.0,4.0,No
17,Employee_139,,Finance,Male,20-05-2023,boston,55175.47,4.0,4.0,No
18,Employee_58,49.0,IT,FEMALE,28-05-2024,Boston,81665.08,0.0,3.0,No
19,Employee_89,32.0,Sales,MALE,26-03-2024,NEW YORK,34372.45,0.8,3.0,No
20,Employee_186,30.0,Sales,male,14-10-2022,Austin,414498.60000000003,1.3,5.0,No
21,Employee_123,33.0,IT,Male,20-04-2016,CHICAGO ,58653.96,7.1,2.0,No
22,Employee_85,39.0,Sales,Male,23-03-2018,New york ,39905.57,5.5,3.0,No
23,Employee_262,37.0,Sales,female,25-09-2023,Chicago,44506.96,7.9,2.0,Yes
24,Employee_4,45.0,HR,male,25-02-2020,new york,87784.17,3.2,2.0,Yes
25,Employee_90,,HR,female,28-10-2024,boston,66304.87,,5.0,Yes
26,Employee_285,37.0,IT,M,21-05-2024,Boston,194370.36000000002,0.7,4.0,No
27,Employee_278,,Finance,female,08-09-2018,NEW YORK,49210.2,0.0,4.0,No
28,Employee_129,29.0,Finance,female,26-02-2023,chicago,69771.14,12.2,3.0,No
29,Employee_156,34.0,HR,MALE,12-06-2017,new york,43087.43,4.3,2.0,No
30,Employee_177,22.0,HR,F,09-12-2024,austin,82067.55,0.2,4.0,No
31,Employee_31,47.0,Finance,female,26-10-2017,seattle ,29622.86,6.9,4.0,No
32,Employee_91,34.0,HR,M,30-06-2018,CHICAGO ,67910.76,7.6,,No
33,Employee_15,28.0,Sales,female,10-07-2020,Boston,78555.24,4.7,4.0,No
34,Employee_116,30.0,Finance,F,06-08-2021,Chicago,61349.34,5.1,3.0,No
35,Employee_115,39.0,Finance,male,14-10-2020,,63444.42,4.7,1.0,No
36,Employee_162,31.0,Sales,Female,18-02-2025,chicago,52510.54,0.0,2.0,Yes
37,Employee_149,22.0,Finance,Female,16-12-2022,Seattle,75338.56,0.1,4.0,No
38,Employee_224,47.0,Marketing,Female,03-02-2018,,55555.99,,3.0,No
39,Employee_140,46.0,Finance,female,03-12-2015,Boston,69438.73,1.3,,Yes
40,Employee_66,36.0,Finance,MALE,28-12-2019,New York,54134.49,0.0,4.0,No
41,Employee_3,39.0,IT,FEMALE,20-10-2024,AUSTIN,52123.16,,1.0,No
42,Employee_227,33.0,Finance,Male,19-04-2018,New York,69799.25,6.9,3.0,No
43,Employee_284,36.0,IT,male,11-08-2021,Austin,38048.91,15.5,3.0,Yes
44,Employee_290,40.0,Marketing,Male,21-02-2021,AUSTIN,26886.54,7.9,3.0,Yes
45,Employee_128,30.0,HR,Female,18-05-2021,CHICAGO ,73204.44,,4.0,No
46,Employee_74,43.0,Finance,Male,16-04-2018,Boston,40633.13,7.0,5.0,No
47,Employee_221,25.0,IT,M,08-09-2020,new york,34426.82,5.5,4.0,No
48,Employee_246,34.0,Finance,FEMALE,27-07-2017,New York,32915.92,12.9,2.0,No
49,Employee_178,30.0,Sales,FEMALE,19-08-2017,New York,54303.64,4.4,5.0,No
50,Employee_283,27.0,Finance,Male,18-06-2019,CHICAGO ,67043.58,1.7,,Yes
51,Employee_71,27.0,Marketing,Female,19-04-2025,Boston,47093.8,,2.0,No
52,Employee_269,,IT,Male,11-12-2018,Boston,,2.0,1.0,No
53,Employee_299,36.0,Sales,Male,15-02-2019,Boston,67380.28,6.3,3.0,Yes
54,Employee_100,22.0,Sales,Female,22-03-2023,Boston,51083.03,8.0,5.0,No
55,Employee_102,38.0,Finance,Male,25-05-2025,boston,61735.27,4.1,3.0,No
56,Employee_92,33.0,IT,male,14-04-2017,Austin,78774.77,3.1,4.0,No
57,Employee_256,37.0,Sales,male,01-12-2017,New york ,,4.3,4.0,No
58,Employee_169,27.0,IT,Male,02-07-2019,new york,60849.75,4.4,5.0,No
59,Employee_19,33.0,HR,FEMALE,02-05-2024,Boston,35887.75,,,No
60,Employee_81,27.0,Marketing,male,18-09-2023,seattle ,50588.72,8.9,2.0,No
61,Employee_75,32.0,HR,Female,27-08-2020,Boston,64903.91,10.0,3.0,No
62,Employee_240,38.0,HR,FEMALE,21-01-2021,Boston,72162.12,4.6,3.0,No
63,Employee_56,37.0,Sales,MALE,23-09-2018,Boston,43130.37,7.1,4.0,Yes
64,Employee_151,,Finance,MALE,18-12-2017,Boston,59494.7,6.7,3.0,No
65,Employee_207,31.0,HR,female,01-03-2016,new york,47360.7,8.4,4.0,No
66,Employee_232,51.0,Marketing,MALE,23-04-2015,New York,61295.51,8.1,3.0,No
67,Employee_223,39.0,IT,Male,06-09-2019,boston,68540.39,11.2,4.0,No
68,Employee_239,27.0,Sales,Female,18-03-2023,new york,42095.45,10.3,3.0,No
69,Employee_241,23.0,Sales,F,06-11-2024,Austin,53936.74,5.1,4.0,No
70,Employee_23,25.0,Sales,male,26-07-2021,AUSTIN,58843.47,2.6,,No
71,Employee_146,29.0,IT,Male,02-02-2018,chicago,54128.62,7.4,,No
72,Employee_259,36.0,IT,M,27-09-2021,Seattle,60898.99,1.3,3.0,Yes
73,Employee_254,39.0,HR,M,25-09-2018,seattle ,66105.78,2.7,3.0,No
74,Employee_174,37.0,IT,female,02-08-2017,boston,42565.39,3.8,5.0,Yes
75,Employee_281,34.0,HR,FEMALE,22-06-2022,chicago,,5.1,3.0,No
76,Employee_98,22.0,IT,MALE,29-04-2015,CHICAGO ,62685.55,5.3,3.0,No
77,Employee_298,21.0,IT,female,03-07-2023,AUSTIN,,0.4,4.0,No
78,Employee_226,33.0,Sales,MALE,16-08-2017,AUSTIN,80897.4,6.1,4.0,No
79,Employee_263,33.0,Marketing,Female,23-10-2024,Austin,63114.74,1.8,5.0,No
80,Employee_105,90.0,Sales,Female,22-10-2019,,75152.05,10.1,3.0,No
81,Employee_182,40.0,HR,MALE,20-02-2017,Austin,79667.38,6.8,3.0,Yes
82,Employee_95,34.0,HR,Female,11-02-2015,seattle ,75437.33,0.0,3.0,Yes
83,Employee_244,31.0,IT,male,28-01-2020,boston,,0.2,2.0,Yes
84,Employee_25,30.0,Sales,male,16-11-2023,austin,67098.56,7.1,5.0,No
85,Employee_87,49.0,HR,M,27-01-2016,new york,51543.5,10.8,4.0,No
86,Employee_279,28.0,Marketing,female,09-07-2015,chicago,56988.76,4.8,3.0,No
87,Employee_155,33.0,Sales,Male,13-08-2022,chicago,35726.84,5.8,3.0,No
88,Employee_63,99.0,Sales,Female,16-06-2017,Boston,60356.27,2.7,5.0,No
89,Employee_287,30.0,IT,female,04-03-2019,Seattle,73187.64,5.5,4.0,No
90,Employee_79,41.0,Finance,M,23-12-2024,seattle ,70771.48,11.0,4.0,No
91,Employee_112,21.0,Sales,male,11-07-2022,Seattle,41139.9,0.0,3.0,No
92,Employee_51,22.0,HR,FEMALE,12-04-2019,austin,52576.6,2.7,3.0,No
93,Employee_175,35.0,Marketing,male,25-01-2017,seattle ,74028.57,1.4,4.0,Yes
94,Employee_127,30.0,HR,Female,04-03-2022,Austin,44975.7,3.0,3.0,No
95,Employee_126,37.0,IT,Female,10-03-2017,New York,60714.05,4.0,3.0,No
96,Employee_164,29.0,HR,Female,09-08-2018,seattle ,42382.65,3.0,3.0,No
97,Employee_53,41.0,HR,M,19-10-2022,Boston,65109.23,3.7,3.0,No
98,Employee_62,39.0,Marketing,female,30-05-2015,New york ,25757.96,5.2,4.0,No
99,Employee_286,43.0,Finance,F,19-01-2021,AUSTIN,70294.78,3.8,5.0,No
100,Employee_194,26.0,HR,female,09-05-2018,austin,83436.89,9.8,1.0,No
101,Employee_29,28.0,IT,FEMALE,23-02-2021,austin,94719.88,,3.0,Yes
102,Employee_70,35.0,IT,MALE,06-07-2020,CHICAGO ,69579.35,2.3,4.0,No
103,Employee_37,27.0,IT,female,07-06-2021,New York,51824.44,2.4,1.0,No
104,Employee_41,41.0,IT,Male,11-02-2015,new york,,5.1,,No
105,Employee_154,35.0,Sales,F,13-03-2024,Austin,68149.47,,4.0,No
106,Employee_12,40.0,IT,Female,12-06-2019,CHICAGO ,55085.07,2.9,3.0,No
107,Employee_148,39.0,IT,female,25-12-2023,boston,,2.9,3.0,No
108,Employee_295,39.0,Sales,Female,02-08-2022,NEW YORK,72241.09,8.0,4.0,No
109,Employee_257,21.0,IT,male,10-05-2022,boston,60018.08,5.6,4.0,Yes
110,Employee_291,38.0,Marketing,F,30-04-2019,new york,76604.86,4.5,4.0,No
111,Employee_214,31.0,HR,F,25-07-2023,Boston,,3.2,1.0,No
112,Employee_119,34.0,HR,F,09-02-2022,chicago,58034.42,3.4,4.0,No
113,Employee_99,28.0,IT,male,02-05-2022,AUSTIN,40979.68,11.9,3.0,No
114,Employee_173,35.0,Sales,FEMALE,19-03-2019,Seattle,67059.04,1.9,,No
115,Employee_47,27.0,IT,male,04-01-2025,Boston,79067.07,4.9,,No
116,Employee_142,,Finance,female,23-12-2015,,44198.77,6.8,5.0,No
117,Employee_128,30.0,HR,Female,18-05-2021,CHICAGO ,73204.44,,4.0,No
118,Employee_200,33.0,Finance,MALE,05-08-2015,Austin,61822.58,6.1,2.0,No
119,Employee_218,40.0,IT,MALE,15-01-2015,Boston,64459.64,3.5,3.0,No
120,Employee_109,28.0,Sales,FEMALE,16-12-2024,,58076.83,6.8,1.0,No
121,Employee_107,,Finance,Female,09-06-2015,Seattle,44908.26,2.6,3.0,Yes
122,Employee_211,32.0,Marketing,MALE,20-05-2021,NEW YORK,90297.57,7.9,2.0,No
123,Employee_297,21.0,Sales,M,06-06-2024,AUSTIN,79371.05,6.5,3.0,Yes
124,Employee_16,22.0,Finance,Male,04-08-2021,boston,80760.24,2.6,4.0,No
